Company/Brand,Sector,HeadQuarter,Year,Investor,Amount
BYJU’S,EdTech,Bangalore,2018,Undisclosed,540000000.0
Wakefit,Manufacturing,Bangalore,2018,Undisclosed,7800000.0
Hero Electric,Manufacturing,New Delhi,2018,Undisclosed,19200000.0
Pentation Analytics,Information Services,Mumbai,2018,Undisclosed,0.0
PerkFinance,Finance,Bangalore,2018,Undisclosed,900000.0
Roposo,Information Technology,Gurugram,2018,Undisclosed,10000000.0
Plum Goodness,Beauty,Thane,2018,Undisclosed,0.0
Drstore,Hospital,Mumbai,2018,Undisclosed,0.0
Wow Venue,Events,Mumbai,2018,Undisclosed,1500000.0
Chizel,3D Printing,Pune,2018,Undisclosed,0.0
OTO Capital,Automobile,Mumbai,2018,Undisclosed,600000.0
Boodmo,Automobile,Gurugram,2018,Undisclosed,840000.0
Khabri,Apps,Haryana,2018,Undisclosed,0.0
MyNewCar.in,Automobile,Gurugram,2018,Undisclosed,1000000.0
HalaPlay Technologies,Media and Entertainment,Bangalore,2018,Undisclosed,5000000.0
PlanetSpark,EdTech,Gurugram,2018,Undisclosed,192000.0
WheelsEMI,Automobile,Pune,2018,Undisclosed,14000000.0
Forum for Innovation Incubation Research and Entrepreneurship,Finance,Margão,2018,Undisclosed,1230000.0
OYO,Hospitality,Gurugram,2018,Undisclosed,100000000.0
Quikr,E-Commerce,Bangalore,2018,Undisclosed,6600000.0
Tabono,Sports,Gurugram,2018,Undisclosed,0.0
LearnApp,Finance,Noida,2018,Undisclosed,240000.0
Shopkirana,E-Commerce,Indore,2018,Undisclosed,2000000.0
Fric Bergen,Food,Alwar,2018,Undisclosed,0.0
Articbot,Artificial Intelligence,Kannur,2018,Undisclosed,14400.0
BuildSupply,Real Estate,Gurugram,2018,Undisclosed,3000000.0
Fusion Microfinance,Finance,New Delhi,2018,Undisclosed,62400000.0
Any time Doctor,Software,Chennai,2018,Undisclosed,0.0
Go Payments,Information Services,Mumbai,2018,Undisclosed,0.0
Guiddoo World,Audio,Mumbai,2018,Undisclosed,800000.0
ION Energy,Energy,Mumbai,2018,Undisclosed,1041000.0
UnoTag,Artificial Intelligence,Bangalore,2018,Undisclosed,100000.0
